# Time-averaged data for fix fheat
# TimeStep f_bbot f_btop
56100 -6.11312 8.59648
56200 -6.39573 8.264
56300 -4.58917 9.54583
56400 -6.50619 9.79576
56500 -6.97386 9.44756
56600 -6.73125 8.75498
56700 -8.33035 9.8444
56800 -8.16099 9.36852
56900 -6.2742 8.62363
57000 -6.9218 8.53445
57100 -7.20641 7.98033
57200 -7.03438 8.93139
57300 -6.64954 8.41569
57400 -7.86925 8.81567
57500 -6.81775 9.4169
57600 -6.79065 8.9607
57700 -6.26209 8.83984
57800 -6.54869 9.30278
57900 -7.98099 9.49545
58000 -7.87784 10.4249
58100 -7.29726 9.76881
58200 -8.38201 10.4575
58300 -7.78889 10.6454
58400 -6.66543 8.62559
58500 -5.88305 9.12067
58600 -6.71089 9.12824
58700 -6.47491 7.62438
58800 -7.15012 8.61366
58900 -5.93687 9.21093
59000 -7.3732 10.4795
59100 -7.06529 10.6525
59200 -6.61865 10.214
59300 -6.73518 9.51592
59400 -7.61683 10.3093
59500 -7.46126 9.51274
59600 -7.68832 9.83927
59700 -6.91531 9.43698
59800 -6.91067 9.97802
59900 -6.80064 8.89691
60000 -6.92631 8.27928
60100 -6.22267 8.90986
60200 -6.46446 9.0276
60300 -7.03899 10.3375
60400 -7.66977 10.2105
60500 -6.79162 9.46308
60600 -5.8488 10.0107
60700 -6.97321 9.44435
60800 -7.9579 10.9211
60900 -7.69146 9.93944
61000 -6.04009 9.83165
61100 -7.0672 9.89587
61200 -5.92061 10.9302
61300 -5.07887 10.9355
61400 -7.92338 10.4976
61500 -8.95357 9.81132
61600 -7.54762 10.0548
61700 -7.67359 10.6393
61800 -7.19973 11.2823
61900 -8.02004 11.6654
62000 -8.62204 11.794
62100 -8.29614 11.9669
62200 -7.82248 11.4477
62300 -8.758 11.3323
62400 -8.27873 11.0086
62500 -8.77571 10.2533
62600 -8.87444 12.0148
62700 -7.31289 11.3287
62800 -7.92502 10.6686
62900 -7.43951 10.3231
63000 -7.47401 10.419
63100 -8.80541 10.5827
63200 -8.51079 11.0517
63300 -9.47819 9.94686
63400 -8.20123 9.75281
63500 -7.69997 9.51439
63600 -7.77898 9.18972
63700 -8.93208 10.1019
63800 -9.21329 10.0001
63900 -8.46456 10.9374
64000 -7.42616 10.6785
64100 -8.53067 11.9434
64200 -8.33121 12.6433
64300 -9.0017 10.5106
64400 -7.67598 11.2383
64500 -7.49513 11.5499
64600 -8.01256 10.7712
64700 -8.81827 10.047
64800 -7.99082 10.8801
64900 -9.66148 11.9793
65000 -9.55429 9.92719
65100 -9.20606 11.0207
65200 -8.58392 10.1752
65300 -7.95753 10.2571
65400 -8.01349 11.445
65500 -8.47837 12.8402
65600 -8.58857 12.5298
65700 -8.51215 12.54
65800 -8.35477 12.1585
65900 -7.87184 11.1561
66000 -9.79017 10.669
66100 -9.14064 10.7389
66200 -8.70142 11.5916
66300 -9.18201 11.1492
66400 -10.1079 11.815
66500 -9.90695 12.6056
66600 -9.05938 12.9707
66700 -7.93506 11.3541
66800 -9.39537 12.3733
66900 -9.55286 12.1001
67000 -8.41199 11.8946
67100 -9.60327 11.6928
67200 -9.51955 12.2558
67300 -10.2121 12.1443
67400 -9.66281 12.3221
67500 -10.0596 13.2075
