# Time-averaged data for fix fpxz
# TimeStep v_pxz
99300 -167.059
99400 -213.416
99500 273.049
99600 -580.074
99700 -12.7122
99800 -62.2784
99900 -198.006
100000 -4.36093
100100 360.312
100200 -595.5
100300 -314.609
100400 -54.4506
100500 -12.0946
100600 -109.851
100700 -16.6955
100800 -277.04
100900 -122.92
101000 114.554
101100 236.125
101200 -138.271
101300 -302.566
101400 221.778
101500 -592.385
101600 -677.617
101700 127.262
101800 -420.207
101900 -624.762
102000 -181.078
102100 -364.305
102200 -542.505
102300 -627.549
102400 -463.298
102500 -509.482
102600 -821.906
102700 -165.834
102800 14.6388
102900 -695.624
103000 -298.938
103100 38.7343
103200 -445.849
103300 -166.549
103400 -20.0703
103500 -43.5131
103600 400.885
103700 -292.702
103800 -237.336
103900 204.793
104000 -438.225
104100 -306.052
104200 -190.704
104300 -192.677
104400 -4.4859
104500 -321.213
104600 58.786
104700 -316.34
104800 385.55
104900 -111.198
105000 -208.356
105100 -75.8885
105200 -15.7048
105300 174.473
105400 -188.168
105500 37.3986
105600 -296.132
105700 -186.596
105800 -51.5783
105900 -150.773
106000 -168.537
106100 27.3475
106200 -301.651
106300 92.0122
106400 329.402
106500 440.483
106600 258.353
106700 126.387
106800 182.855
106900 -40.8625
107000 21.31
107100 -216.746
107200 -62.1601
107300 -209.189
107400 -553.624
107500 208.063
107600 -328.801
107700 -85.8539
107800 58.2251
107900 -362.615
108000 435.635
108100 26.2797
108200 76.5461
108300 -102.383
108400 130.565
108500 0.708833
108600 -112.047
108700 -378.514
108800 218.11
108900 119.027
109000 -402.63
109100 537.69
109200 13.9166
109300 660.635
109400 -102.494
109500 -359.901
109600 -221.47
109700 -713.702
109800 -336.245
109900 -136.605
110000 -211.88
110100 -578.718
110200 481.6
110300 137.794
110400 194.352
110500 -29.1964
110600 -66.2792
110700 268.982
110800 -168.489
110900 -421.599
111000 -381.927
111100 -492.111
111200 -124.645
111300 -482.832
111400 -457.222
111500 -564.709
111600 -1012.71
111700 -542.285
111800 -312.842
111900 -638.434
112000 -66.7716
112100 -312.823
112200 -240.412
112300 -478.968
112400 -189.325
112500 -273.69
112600 308.092
112700 -471.376
112800 123.329
112900 -330.499
113000 -485.771
113100 -317.93
113200 260.181
113300 -146.87
113400 -264.548
113500 -35.7093
113600 -47.747
113700 -87.3301
113800 54.2776
113900 148.893
114000 246.832
114100 147.683
114200 -119.713
114300 225.314
114400 452.361
114500 -8.3304
114600 576.732
114700 227.744
114800 -310.324
114900 -89.1136
115000 -51.6411
115100 -36.7521
115200 -440.481
115300 -50.5868
115400 -781.273
115500 -218.565
115600 -336.164
115700 -626.041
115800 -719.927
115900 -485.073
116000 -563.332
116100 -615.875
116200 119.828
116300 -597.632
116400 -56.9902
116500 -98.6165
116600 -435.686
116700 -388.179
116800 -258.206
116900 -412.142
117000 -309.395
117100 232.428
117200 -351.644
117300 149.647
117400 -201.23
117500 108.549
117600 163.807
117700 -301.968
117800 -128.155
117900 -582.969
118000 -461.065
118100 80.2922
118200 -198.098
118300 33.9297
118400 -235.017
118500 -429.366
118600 -554.298
118700 -702.657
118800 -470.085
118900 -220.484
119000 24.8338
119100 168.303
119200 214.073
119300 -272.958
119400 -165.255
119500 -395.939
119600 -218.186
119700 -434.146
119800 -547.621
119900 -358.713
120000 -495.617
120100 -662.042
120200 -711.357
120300 -340.113
120400 -312.654
120500 -846.625
120600 -399.699
120700 -248.875
120800 -386.928
120900 -425.251
121000 -1073.89
121100 -367.004
121200 -752.301
121300 -851.845
121400 -635.916
121500 -961.696
121600 -695.851
121700 -165.938
121800 -305.099
121900 -232.618
122000 -946.843
122100 -816.278
122200 -664.858
122300 -398.799
122400 8.534
122500 -89.3242
122600 -639.471
122700 -533.326
122800 -579.252
122900 -579.231
123000 -1017.29
123100 -403.049
123200 -409.26
123300 -765.227
123400 -562.068
123500 -479.52
123600 -171.395
123700 71.9538
123800 -757.353
123900 -296.88
124000 -172.827
124100 -197.473
124200 -835.582
124300 -615.856
124400 -81.7649
124500 -867.66
124600 122.117
124700 -587.331
124800 -495.187
124900 -435.561
125000 -366.628
125100 -499.077
125200 -314.733
125300 -28.8876
125400 -329.774
125500 200.309
125600 -143.952
125700 -163.87
125800 104.936
125900 -704.256
126000 51.9703
126100 -486.663
126200 536.66
126300 52.5884
126400 40.0941
126500 -229.975
126600 -74.3519
126700 -85.4065
126800 -1040.57
126900 -316.995
127000 -322.137
127100 -720.001
127200 -180.66
127300 -959.446
127400 -189.523
127500 -1051.88
127600 -337.42
127700 -206.29
127800 61.6656
127900 -64.9907
128000 -220.463
128100 58.0554
128200 -574.22
128300 -330.228
128400 -477.505
128500 92.3491
128600 -112.158
128700 -444.073
128800 -471.127
128900 -137.337
129000 124.163
129100 -495.551
129200 -114.95
129300 26.8149
129400 -545.171
129500 40.311
129600 19.627
129700 -258.322
129800 -259.769
129900 -111.832
130000 -387.317
130100 -176.545
130200 -515.888
130300 -436.053
130400 -792.277
130500 -267.585
130600 -796.547
130700 -414.147
130800 -512.545
130900 -453.176
131000 -973.403
131100 -730.53
131200 -246.665
131300 -120.518
131400 -299.175
131500 -312.284
131600 -663.99
131700 -144.801
131800 -346.675
131900 304.756
132000 -267.973
132100 -270.981
132200 -278.966
132300 -361.973
132400 -198.953
132500 -123.213
132600 -472.661
132700 -375.788
132800 -397.335
132900 118.03
133000 -75.9767
133100 -287.511
133200 -449.593
133300 -718.678
133400 -617.346
133500 -268.273
133600 -323.788
133700 187.795
133800 -155.546
133900 -431.11
134000 -692.109
134100 -632.567
134200 87.9871
134300 -228.17
134400 -638.618
134500 -431.5
134600 30.1064
134700 -468.704
134800 -500.707
134900 -298.467
135000 -577.714
135100 -342.379
135200 -481.646
135300 -141.153
135400 421.204
135500 -149.916
135600 -487.116
135700 -620.425
135800 -69.8593
135900 288.181
136000 -458.9
136100 -695.989
136200 -282.699
136300 -653.439
136400 -702.654
136500 -606.7
136600 -808.057
136700 -863.091
136800 -832.061
136900 -159.378
137000 -381.305
137100 -7.93868
137200 -356.384
137300 -394.05
137400 31.2756
137500 -162.407
137600 -318.712
137700 -405.797
137800 -554.037
137900 -320.845
138000 -391.969
138100 -178.758
138200 -372.994
138300 -405.318
138400 9.46422
138500 -536.773
138600 -96.8812
138700 -54.7826
138800 -369.426
138900 291.89
139000 -222.742
139100 -420.351
139200 -429.329
139300 -567.426
139400 -396.173
139500 -466.802
139600 -272.932
139700 -705.269
139800 -626.93
139900 -703.59
140000 -19.6719
140100 -914.403
140200 -410.666
140300 -560.638
140400 -105.069
140500 -702.085
140600 -374.55
140700 49.8469
140800 -561.897
140900 -490.709
141000 -185.633
141100 145.169
141200 -953.913
141300 -412.83
141400 -496.978
141500 -14.4138
141600 -1002.12
141700 -997.09
141800 -879.276
141900 -876.557
142000 -756.793
142100 -726.543
142200 -733.966
142300 -796.051
142400 -87.3881
142500 -784.469
142600 -436.166
142700 -664.948
142800 -837.893
142900 -740.845
143000 -347.681
143100 -309.885
143200 -189.299
143300 26.0634
143400 -363.107
143500 134.471
143600 -48.393
143700 -146.029
143800 -452.53
143900 -3.62511
144000 260.528
144100 -71.593
144200 -761.379
144300 -399.674
144400 -433.464
144500 -216.055
144600 68.8257
144700 3.24293
144800 -172.217
144900 -48.5587
145000 -415.753
145100 -143.679
145200 -259.551
145300 -209.337
145400 16.908
145500 35.9092
145600 -298.899
145700 71.4428
145800 -345.817
145900 -582.716
146000 -295.122
146100 -196.008
146200 -260.239
146300 -325.706
146400 -92.9803
146500 119.959
146600 57.2253
146700 -270.074
146800 43.4789
146900 356.635
147000 -62.0327
147100 -481.379
147200 -240.368
147300 -221.275
147400 -299.226
147500 -723.894
147600 -537.682
147700 1.98443
147800 -676.776
147900 39.2985
148000 -414.59
148100 -64.2792
148200 -69.2669
148300 -646.972
148400 -238.987
148500 -770.907
148600 -635.704
148700 -742.686
148800 -481.805
148900 -419.721
149000 -616.549
149100 -536.946
149200 -258.668
149300 -14.3954
149400 -418.598
149500 -641.823
149600 -0.155521
149700 -143.151
149800 -558.996
149900 334.14
150000 -407.329
150100 -100.809
150200 -163.642
150300 41.8102
150400 37.5983
150500 -622.672
150600 175.55
150700 -288.299
150800 240.998
150900 393.023
151000 -5.78529
151100 29.4684
151200 -388.189
151300 -466.618
151400 -588.995
151500 -191.016
151600 -243.977
151700 -190.846
151800 -75.5982
151900 -559.414
152000 191.565
152100 -91.5603
152200 -222.36
152300 -191.148
152400 73.0533
152500 -796.386
152600 228.877
152700 -387.119
152800 326.565
152900 -189.118
153000 -386.704
153100 -274.213
153200 -578.237
153300 -649.482
153400 34.0554
153500 -85.1435
153600 -70.4929
153700 346.973
153800 -280.633
153900 -317.708
154000 -351.556
154100 -415.1
154200 -78.6706
154300 81.6945
154400 -539.897
154500 320.759
154600 -117.081
154700 -447.598
154800 -455.782
154900 -703.141
155000 -565.568
155100 -289.27
155200 -344.194
155300 -383.466
155400 -341.161
155500 -483.056
155600 -327.82
155700 34.8543
155800 -146.79
155900 -66.9307
156000 490.601
156100 25.7149
156200 -133.835
156300 -214.806
156400 -62.0992
156500 -104.774
156600 -258.518
156700 -51.0183
156800 -123.117
156900 -160.293
157000 -752.781
157100 -104.751
157200 -451.937
157300 -409.939
157400 -134.26
157500 -186.455
157600 -1009.24
157700 -336.16
157800 -657.459
157900 -968.232
158000 -60.6941
